id,kd_kabupaten,kabupaten,kordinat_x,kordinat_y,peta_kabupaten,code,slug,kd_provinsi,created_at,updated_at
311,6301,Kabupaten Tanah Laut,,,,,kabupaten-tanah-laut,63,4/4/2023 23:07,4/9/2023 21:31
312,6302,Kabupaten Kotabaru,,,,,kabupaten-kotabaru,63,4/4/2023 23:07,4/9/2023 21:31
313,6303,Kabupaten Banjar,,,,,kabupaten-banjar,63,4/4/2023 23:07,4/9/2023 21:31
314,6304,Kabupaten Barito Kuala,,,,,kabupaten-barito-kuala,63,4/4/2023 23:07,4/9/2023 21:31
315,6305,Kabupaten Tapin,,,,,kabupaten-tapin,63,4/4/2023 23:07,4/9/2023 21:31
316,6306,Kabupaten Hulu Sungai Selatan,,,,,kabupaten-hulu-sungai-selatan,63,4/4/2023 23:07,4/9/2023 21:31
317,6307,Kabupaten Hulu Sungai Tengah,,,,,kabupaten-hulu-sungai-tengah,63,4/4/2023 23:07,4/9/2023 21:31
318,6308,Kabupaten Hulu Sungai Utara,,,,,kabupaten-hulu-sungai-utara,63,4/4/2023 23:07,4/9/2023 21:31
319,6309,Kabupaten Tabalong,,,,,kabupaten-tabalong,63,4/4/2023 23:07,4/9/2023 21:31
320,631,Kabupaten Tanah Bumbu,,,,,kabupaten-tanah-bumbu,63,4/4/2023 23:07,4/9/2023 21:31
321,6311,Kabupaten Balangan,,,,,kabupaten-balangan,63,4/4/2023 23:07,4/9/2023 21:31
322,6371,Kota Banjarmasin,,,,,kota-banjarmasin,63,4/4/2023 23:07,4/9/2023 21:31
323,6372,Kota Banjarbaru,,,,,kota-banjarbaru,63,4/4/2023 23:07,4/9/2023 21:31
